AT1G02067	0	0	0	0	0	0	0	0	0
AT1G02070	5	81	47	4	7	0	8	0	25
AT1G02080	2043	3449	4792	884	2768	4034	3637	3184	3071
AT1G02090	623	1076	1236	423	697	834	546	709	819
AT1G02100	767	1337	1112	205	932	1083	796	930	624
AT1G02110	350	383	832	437	315	497	418	361	520
AT1G02120	2042	2503	3388	949	2220	2535	2269	1996	1991
AT1G02130	777	993	951	145	711	827	786	728	656
AT1G02140	2096	3040	3743	1027	2768	2004	1872	1820	1954
AT1G02145	433	902	685	106	702	638	580	603	428
AT1G02150	2041	2416	2804	672	2132	1842	1899	1810	1456
AT1G02160	542	733	737	354	669	639	540	505	939
AT1G02170	431	588	667	294	339	508	385	517	478
AT1G02180	85	196	92	24	187	91	102	165	118
AT1G02190	39	16	55	9	0	2	6	12	0
AT1G02205	320	569	690	193	425	557	340	446	467
AT1G02210	0	0	0	0	0	0	0	0	0
AT1G02220	418	414	668	124	374	350	365	371	304
AT1G02230	19	59	81	2	20	80	16	28	17
AT1G02250	2	24	7	0	0	1	0	0	1
AT1G02260	262	596	340	62	280	311	276	375	371
AT1G02270	379	584	697	132	462	594	382	326	293
AT1G02280	2235	2574	2818	641	2845	2457	1962	1954	1622
AT1G02290	176	282	318	85	415	205	237	176	210
AT1G02300	377	518	355	102	427	452	306	543	342
AT1G02305	3502	4154	5175	1116	4158	3877	3762	3115	3115
AT1G02310	16	86	79	6	68	44	20	20	40
AT1G02320	0	0	0	0	0	0	0	0	0
AT1G02330	613	832	957	295	593	567	522	461	540
AT1G02335	213	232	258	20	165	177	177	173	110
AT1G02340	37	50	69	19	80	106	28	57	22
AT1G02350	47	34	63	3	36	35	42	34	17
AT1G02360	280	338	635	87	271	336	375	167	269
AT1G02370	218	641	492	82	310	298	237	362	239
AT1G02380	101	123	144	24	117	120	95	88	49
AT1G02390	43	71	171	5	4	53	54	28	78
AT1G02400	131	226	349	43	164	84	136	105	71
AT1G02405	0	0	0	0	3	0	0	0	20
AT1G02410	764	840	901	199	786	554	537	685	665
AT1G02420	273	367	436	74	285	232	237	329	232
AT1G02430	2	0	0	3	39	0	5	0	2
AT1G02440	1	1	0	2	0	2	0	6	2
AT1G02450	1	2	30	2	1	61	1	6	24
AT1G02460	13	37	55	18	5	35	36	22	36
AT1G02470	11	64	60	5	12	0	16	13	40
AT1G02475	919	1108	916	161	794	782	835	1028	549
AT1G02490	14	53	3	0	26	12	3	0	10
AT1G02500	5936	6859	8742	2336	4273	5348	4697	4212	4823
AT1G02510	0	0	0	0	0	0	0	0	0
